name,place_id,price_level,rating,user_ratings_total,meal_delivery,meal_takeaway,restaurant,bar,cafe,id,user,is_elite,rank,text,stars,value_date,unit_date,days_ago,month_past_covid,is_covid,popularity
MIXMI,ChIJRRfqcpPBhkcRpJ5J4mjx218,,4.8,26,False,False,True,False,True,ChdDSUhNMG9nS0VJQ0FnSUR5OUl2c29nRRAB,Liz Whippo,1,12,,5,a,week,7,11,1,1
MIXMI,ChIJRRfqcpPBhkcRpJ5J4mjx218,,4.8,26,False,False,True,False,True,ChdDSUhNMG9nS0VJQ0FnSURTMk1TY25nRRAB,Roberta Pacchetti,1,19,,4,2,months,60,9,1,1
MIXMI,ChIJRRfqcpPBhkcRpJ5J4mjx218,,4.8,26,False,False,True,False,True,ChdDSUhNMG9nS0VJQ0FnSURpekxEZDFRRRAB,Riccardo Mario,0,121,"(Translated by Google) Great shop, great staff (Original) Ottimo negozio, personale fantastico",5,3,months,90,8,1,1
MIXMI,ChIJRRfqcpPBhkcRpJ5J4mjx218,,4.8,26,False,False,True,False,True,ChdDSUhNMG9nS0VJQ0FnSURpMk4teXNRRRAB,Francesca Cigola,1,43,(Translated by Google) A delightful setting! (Original) Un ambiente delizioso !,5,3,months,90,8,1,1
MIXMI,ChIJRRfqcpPBhkcRpJ5J4mjx218,,4.8,26,False,False,True,False,True,ChZDSUhNMG9nS0VJQ0FnSUNzMDVDTE13EAE,simona dinetta,1,1,"(Translated by Google) Very nice location, amazing lunch! (Original) Location molto bella, pranzo strepitoso!",5,a,year,365,-1,0,1
MIXMI,ChIJRRfqcpPBhkcRpJ5J4mjx218,,4.8,26,False,False,True,False,True,ChZDSUhNMG9nS0VJQ0FnSURNMXR1VkZ3EAE,Bianca Galimberti,1,1,"Amazing concept, beautiful atmosphere and incredible staff! They even do take away for their tasty food! I got their refined lasagne for a last minute dinner! Everything is excellent and with a slight, elegant french Touch.",5,a,year,365,-1,0,1
MIXMI,ChIJRRfqcpPBhkcRpJ5J4mjx218,,4.8,26,False,False,True,False,True,ChdDSUhNMG9nS0VJQ0FnSURNZ09UVXNnRRAB,Silvia Griffa,1,9,,5,a,year,365,-1,0,1
MIXMI,ChIJRRfqcpPBhkcRpJ5J4mjx218,,4.8,26,False,False,True,False,True,ChZDSUhNMG9nS0VJQ0FnSUNNei12allREAE,Cathrin Lorenzen,1,3,"Super friendly staff, delicious lunch and cakes and coffee. Very nice atmosphere because it is a shop and bistro combined into one.",5,a,year,365,-1,0,1
MIXMI,ChIJRRfqcpPBhkcRpJ5J4mjx218,,4.8,26,False,False,True,False,True,ChdDSUhNMG9nS0VJQ0FnSUQwcUo2bDFRRRAB,irma drago,1,1,,5,a,year,365,-1,0,1
MIXMI,ChIJRRfqcpPBhkcRpJ5J4mjx218,,4.8,26,False,False,True,False,True,ChdDSUhNMG9nS0VJQ0FnSUMwcjl1MTRRRRAB,Corinna Bragolusi,1,26,(Translated by Google) Food I know them strepitosu (Original) Cibo so so loro strepitosu,3,a,year,365,-1,0,1
MIXMI,ChIJRRfqcpPBhkcRpJ5J4mjx218,,4.8,26,False,False,True,False,True,ChdDSUhNMG9nS0VJQ0FnSUMwdzlpUzFnRRAB,Raoul Bülow,1,2,"(Translated by Google) Very nice advice, extremely delicious pastries and coffees (Original) Sehr nette Beratung, extrem leckeres Süßgebäck und Kaffees",5,a,year,365,-1,0,1
MIXMI,ChIJRRfqcpPBhkcRpJ5J4mjx218,,4.8,26,False,False,True,False,True,ChZDSUhNMG9nS0VJQ0FnSUNVNllpcGVnEAE,sslo kyss,1,4,,5,a,year,365,-1,0,1
MIXMI,ChIJRRfqcpPBhkcRpJ5J4mjx218,,4.8,26,False,False,True,False,True,ChZDSUhNMG9nS0VJQ0FnSURrdl9XcGJ3EAE,Sina Taghizadeh,1,5,Lovely cafe with the most amazing pastries. Everyone there was so hospitable as well. Wish I could go here every day!,5,a,year,365,-1,0,1
MIXMI,ChIJRRfqcpPBhkcRpJ5J4mjx218,,4.8,26,False,False,True,False,True,ChdDSUhNMG9nS0VJQ0FnSURrbzluRXpBRRAB,ELISABETTA ZOCCATELLI,0,5,,3,a,year,365,-1,0,1
MIXMI,ChIJRRfqcpPBhkcRpJ5J4mjx218,,4.8,26,False,False,True,False,True,ChdDSUhNMG9nS0VJQ0FnSURrdllpbThnRRAB,Matteo Difino,1,1,(Translated by Google) Always a very pleasant break! (Original) Sempre una pausa molto piacevole!,5,a,year,365,-1,0,1
MIXMI,ChIJRRfqcpPBhkcRpJ5J4mjx218,,4.8,26,False,False,True,False,True,ChZDSUhNMG9nS0VJQ0FnSURrM1lpSkxBEAE,Giuliana Giandoso,0,18,,5,a,year,365,-1,0,1
MIXMI,ChIJRRfqcpPBhkcRpJ5J4mjx218,,4.8,26,False,False,True,False,True,ChdDSUhNMG9nS0VJQ0FnSURFcG9TMXdnRRAB,marco ceruti,1,1,"(Translated by Google) Great everything, very kind staff and very competent and passionate (Original) Ottimo tutto, personale gentilissimo e molto competente ed appassionato",5,a,year,365,-1,0,1
MIXMI,ChIJRRfqcpPBhkcRpJ5J4mjx218,,4.8,26,False,False,True,False,True,ChdDSUhNMG9nS0VJQ0FnSURZeUxYcnJBRRAB,woman 10,0,0,,5,a,year,365,-1,0,1
MIXMI,ChIJRRfqcpPBhkcRpJ5J4mjx218,,4.8,26,False,False,True,False,True,ChdDSUhNMG9nS0VJQ0FnSUNZdmE3N2pBRRAB,Piotr Nowosad,0,0,,5,a,year,365,-1,0,1
MIXMI,ChIJRRfqcpPBhkcRpJ5J4mjx218,,4.8,26,False,False,True,False,True,ChdDSUhNMG9nS0VJQ0FnSUNZamRIUGpRRRAB,Adriana Rosas,0,161,"(Translated by Google) An original, excellent and light lunch, presented in an original way, with elegant and pleasing contrasts: absolutely minimalist black dish for the dish, English style cups different in color and shape for the …",5,a,year,365,-1,0,1
MIXMI,ChIJRRfqcpPBhkcRpJ5J4mjx218,,4.8,26,False,False,True,False,True,ChZDSUhNMG9nS0VJQ0FnSUNZM3NpMlJREAE,Andrea Battioli,0,56,,5,a,year,365,-1,0,1
MIXMI,ChIJRRfqcpPBhkcRpJ5J4mjx218,,4.8,26,False,False,True,False,True,ChdDSUhNMG9nS0VJQ0FnSURvOE15SnF3RRAB,Dtodoubleyou,1,13,Beautiful pastery cafe with tea and coffee like in London!,5,a,year,365,-1,0,1
MIXMI,ChIJRRfqcpPBhkcRpJ5J4mjx218,,4.8,26,False,False,True,False,True,ChZDSUhNMG9nS0VJQ0FnSUNvenFDa0VnEAE,Adamari Castro Susanibar,0,0,,5,2,years,730,-13,0,1
MIXMI,ChIJRRfqcpPBhkcRpJ5J4mjx218,,4.8,26,False,False,True,False,True,ChZDSUhNMG9nS0VJQ0FnSUNvLXRtc0NnEAE,Libellule Dorée,1,13,A lovely and warm place next to the Parc Sempione. The menu changes often as the team wants to make you discover their numerous specialties. Today I have really liked the “vegetable flan with radicchio tardo and potatoes with thyme ”. One …,5,2,years,730,-13,0,1
MIXMI,ChIJRRfqcpPBhkcRpJ5J4mjx218,,4.8,26,False,False,True,False,True,ChZDSUhNMG9nS0VJQ0FnSURJbDZtcVNBEAE,D.T.J. official,1,1,"(Translated by Google) The place is beautiful and welcoming, and the menu is perfect. The cuisine is crazy and the foods are delicious, even the excellent pastry (Original) Il posto è bellissimo e accogliente, e il menù è perfetto. La cucina è pazzesca e i cibi sono buonissimi, anche la pasticceria ottima",5,2,years,730,-13,0,1
MIXMI,ChIJRRfqcpPBhkcRpJ5J4mjx218,,4.8,26,False,False,True,False,True,ChZDSUhNMG9nS0VJQ0FnSURJdE5Ld0VnEAE,Maria Chiara Dell'Anna,0,82,(Translated by Google) Fantastic experience! (Original) Esperienza fantastica!,5,2,years,730,-13,0,1
Bokok,ChIJEaGO6mTBhkcRA4QnHfv9vZI,2.0,4.1,223,False,False,True,False,True,ChdDSUhNMG9nS0VJQ0FnSUR5bkw3Q2tBRRAB,Hanane Yessou,0,11,,5,6,days,6,11,1,2
Bokok,ChIJEaGO6mTBhkcRA4QnHfv9vZI,2.0,4.1,223,False,False,True,False,True,ChZDSUhNMG9nS0VJQ0FnSUR5OUlmOVBBEAE,Paolo Munna,1,14,,4,a,week,7,11,1,2
Bokok,ChIJEaGO6mTBhkcRA4QnHfv9vZI,2.0,4.1,223,False,False,True,False,True,ChZDSUhNMG9nS0VJQ0FnSUR5MUt5cllnEAE,Ornella Politano,0,28,,4,a,week,7,11,1,2
Bokok,ChIJEaGO6mTBhkcRA4QnHfv9vZI,2.0,4.1,223,False,False,True,False,True,ChZDSUhNMG9nS0VJQ0FnSUR5bEk2QWRnEAE,Giulia Dell' Amico,1,10,"(Translated by Google) Very nice and clean restaurant. The menu is a little different from the usual and is also suitable for ordering various things to divide, to taste a bit of everything. We ordered a specialty for each section and it …",5,a,week,7,11,1,2
Bokok,ChIJEaGO6mTBhkcRA4QnHfv9vZI,2.0,4.1,223,False,False,True,False,True,ChdDSUhNMG9nS0VJQ0FnSUN5Zy1PZDlnRRAB,Jesus Ferrer,0,85,"(Translated by Google) Excellent place to taste some good quality Chinese dishes in Milan. In Chinatown there are many options, and even cheaper than this place. But it's really worth its 100% quality food, friendly attention and the beauty …",5,3,weeks,21,11,1,2
Bokok,ChIJEaGO6mTBhkcRA4QnHfv9vZI,2.0,4.1,223,False,False,True,False,True,ChZDSUhNMG9nS0VJQ0FnSUN5eFl2UlF3EAE,Sara Costanzo,0,22,"(Translated by Google) Excellent variety and quality of food, courteous but not very efficient service, perhaps because it is very busy. Still worth a visit! (Original) Ottima varietà e qualità del cibo, servizio cortese ma non molto efficiente, forse perché molto affollato. Comunque merita una visita!",4,3,weeks,21,11,1,2
Bokok,ChIJEaGO6mTBhkcRA4QnHfv9vZI,2.0,4.1,223,False,False,True,False,True,ChdDSUhNMG9nS0VJQ0FnSUN5dWVMbjFRRRAB,matikissima match,1,54,(Translated by Google) Excellent food prepared with sober taste and good raw materials. (Original) Ottimo cibo preparato con gusto sobrio e materie prime buone.,4,a,month,30,10,1,2
