price_level,rating,user_ratings_total,is_elite,rank,stars,days_ago
2,4.3,697,True,10,4,1
2,4.3,697,False,2,5,3
2,4.3,697,True,5,5,4
2,4.3,697,False,0,4,7
2,4.3,697,True,30,5,7
2,4.3,697,False,26,3,7
2,4.3,697,True,54,5,7
2,4.3,697,True,78,4,7
2,4.3,697,False,29,4,7
2,4.3,697,True,3,4,7
2,4.3,697,True,48,5,7
2,4.3,697,False,25,4,14
2,4.3,697,True,42,5,14
2,4.3,697,False,5,5,21
2,4.3,697,False,4,4,30
2,4.3,697,True,0,4,30
2,4.3,697,True,94,1,30
2,4.3,697,False,5,5,30
2,4.3,697,True,66,5,30
2,4.3,697,True,22,4,60
2,4.3,697,False,3,5,60
2,4.3,697,False,1,5,90
2,4.3,697,True,475,4,90
2,4.3,697,False,17,5,90
2,4.3,697,False,4,5,120
2,4.3,697,False,2,5,120
2,4.3,697,False,8,5,120
2,4.3,697,False,5,2,120
2,4.3,697,False,24,5,120
2,4.3,697,True,61,5,120
2,4.3,697,False,1,2,120
2,4.3,697,False,3,5,120
2,4.3,697,False,2,5,120
2,4.3,697,True,130,5,120
2,4.3,697,True,22,3,120
2,4.3,697,False,5,4,120
2,4.3,697,False,1,5,120
2,4.3,697,True,9,5,120
2,4.3,697,False,0,5,150
2,4.3,697,False,1,5,150
2,4.3,697,False,3,5,150
2,4.3,697,True,90,4,150
2,4.3,697,False,0,3,150
2,4.3,697,False,1,5,150
2,4.3,697,True,37,5,150
2,4.3,697,False,8,5,150
2,4.3,697,True,73,5,150
2,4.3,697,False,0,4,150
2,4.3,697,False,1,5,150
2,4.3,697,False,0,5,150
2,4.3,697,False,0,4,150
2,4.3,697,True,104,4,150
2,4.3,697,False,12,5,180
2,4.3,697,True,15,5,180
2,4.3,697,False,21,4,180
2,4.3,697,False,2,5,180
2,4.3,697,True,64,3,180
2,4.3,697,False,1,5,180
2,4.3,697,False,13,5,180
2,4.3,697,True,12,5,180
2,4.3,697,True,51,4,180
2,4.3,697,False,6,5,180
2,4.3,697,False,1,5,180
2,4.3,697,True,26,4,180
2,4.3,697,False,0,5,180
2,4.3,697,True,39,5,180
2,4.3,697,True,125,5,180
2,4.3,697,True,84,4,180
2,4.3,697,True,7,2,180
2,4.3,697,True,22,5,180
2,4.3,697,False,2,2,180
2,4.3,697,False,1,5,180
2,4.3,697,True,310,2,210
2,4.3,697,True,54,4,210
2,4.3,697,False,11,5,210
2,4.3,697,False,40,5,210
2,4.3,697,False,0,5,210
2,4.3,697,False,58,5,210
2,4.3,697,False,0,5,210
2,4.3,697,True,556,4,210
2,4.3,697,False,7,4,210
2,4.3,697,True,2,1,210
2,4.3,697,True,31,4,210
2,4.3,697,False,5,5,210
2,4.3,697,False,18,5,210
2,4.3,697,False,0,3,210
2,4.3,697,True,23,5,210
2,4.3,697,True,185,5,210
2,4.3,697,False,5,4,210
2,4.3,697,True,56,5,210
2,4.3,697,False,20,5,210
2,4.3,697,False,0,2,210
2,4.3,697,True,182,4,210
2,4.3,697,False,10,5,210
2,4.3,697,True,4,5,210
2,4.3,697,False,4,5,240
2,4.3,697,False,1,5,240
2,4.3,697,False,43,5,240
2,4.3,697,False,0,3,240
2,4.3,697,True,104,5,240
2,4.3,697,False,122,5,240
2,4.3,697,False,2,4,240
2,4.3,697,True,6,3,240
2,4.3,697,False,25,5,240
2,4.3,697,True,38,2,240
2,4.3,697,False,1,5,240
2,4.3,697,False,3,4,240
2,4.3,697,True,12,4,240
2,4.3,697,False,0,5,240
2,4.3,697,False,4,5,240
2,4.3,697,False,3,4,240
2,4.3,697,True,66,5,240
2,4.3,697,True,58,4,240
2,4.3,697,True,155,5,240
2,4.3,697,True,17,4,240
2,4.3,697,True,45,5,240
2,4.3,697,False,0,5,240
2,4.3,697,False,9,5,270
2,4.3,697,False,0,5,270
2,4.3,697,True,10,5,270
2,4.3,697,True,7,5,270
2,4.3,697,True,9,4,270
2,4.3,697,False,0,5,270
2,4.3,697,False,0,5,270
2,4.3,697,False,5,5,270
2,4.3,697,False,2,5,270
2,4.3,697,False,2,5,300
2,4.3,697,False,41,5,300
2,4.3,697,True,27,3,330
2,4.3,697,False,5,2,365
2,4.3,697,True,2,5,365
2,4.3,697,False,3,5,365
2,4.3,697,True,240,4,365
2,4.3,697,True,4,4,365
2,4.3,697,False,0,4,365
2,4.3,697,False,12,5,365
2,4.3,697,True,14,5,365
2,4.3,697,True,13,4,365
2,4.3,697,False,2,4,365
2,4.3,697,False,2,5,365
2,4.3,697,True,19,4,365
2,4.3,697,True,100,5,365
2,4.3,697,False,0,4,365
2,4.3,697,False,0,5,365
2,4.3,697,True,40,5,365
2,4.3,697,False,16,5,365
2,4.3,697,False,0,5,365
2,4.3,697,False,13,4,365
2,4.3,697,True,91,5,365
2,4.3,697,False,9,4,365
2,4.3,697,False,0,5,365
2,4.3,697,True,5,5,365
2,4.3,697,False,12,5,365
2,4.3,697,True,58,5,365
2,4.3,697,False,0,5,365
2,4.3,697,False,7,1,365
2,4.3,697,True,38,3,365
2,4.3,697,True,11,3,365
2,4.3,697,True,9,5,365
2,4.3,697,False,5,5,365
2,4.3,697,True,35,5,365
2,4.3,697,False,13,5,365
2,4.3,697,False,1,4,365
2,4.3,697,True,78,4,365
2,4.3,697,False,4,3,365
2,4.3,697,False,0,4,365
2,4.3,697,False,2,5,365
2,4.3,697,True,0,3,365
2,4.3,697,True,192,4,365
2,4.3,697,True,10,5,365
2,4.3,697,True,35,5,365
2,4.3,697,False,2,5,365
2,4.3,697,True,59,4,365
2,4.3,697,True,51,5,365
2,4.3,697,False,1,5,365
2,4.3,697,True,43,5,365
2,4.3,697,False,0,5,365
2,4.3,697,True,14,5,365
2,4.3,697,False,3,2,365
2,4.3,697,True,69,5,365
2,4.3,697,False,0,5,365
2,4.3,697,True,13,4,365
2,4.3,697,False,9,5,365
2,4.3,697,False,0,5,365
2,4.3,697,False,8,5,365
2,4.3,697,True,19,1,365
2,4.3,697,True,55,5,365
2,4.3,697,False,2,4,365
2,4.3,697,True,21,5,365
2,4.3,697,False,0,4,365
2,4.3,697,False,1,5,365
2,4.3,697,True,4,5,365
2,4.3,697,False,8,5,365
2,4.3,697,True,30,5,365
2,4.3,697,True,2519,4,365
2,4.3,697,False,6,4,365
2,4.3,697,False,11,5,365
2,4.3,697,True,0,2,365
2,4.3,697,True,339,5,365
2,4.3,697,False,13,3,365
2,4.3,697,True,15,5,365
2,4.3,697,True,44,4,365
2,4.3,697,True,1,4,365
2,4.3,697,True,2,5,365
2,4.3,697,True,7,1,365
2,4.3,697,True,59,5,365
2,4.3,697,False,35,3,365
2,4.3,697,True,4,5,365
2,4.3,697,True,35,5,365
2,4.3,697,True,20,5,365
2,4.3,697,True,219,5,365
2,4.3,697,False,5,1,365
2,4.3,697,False,5,5,365
2,4.3,697,True,2,4,365
2,4.3,697,False,0,5,365
2,4.3,697,True,50,4,365
2,4.3,697,False,0,5,365
2,4.3,697,True,23,4,365
2,4.3,697,True,238,4,365
2,4.3,697,False,15,5,365
2,4.3,697,False,1,4,365
2,4.3,697,False,7,5,365
2,4.3,697,True,47,5,365
2,4.3,697,False,8,5,365
2,4.3,697,True,177,4,365
2,4.3,697,True,52,5,365
2,4.3,697,True,79,5,365
2,4.3,697,True,13,3,365
2,4.3,697,False,1,3,365
2,4.3,697,False,0,5,365
2,4.3,697,False,30,2,365
2,4.3,697,True,61,5,365
2,4.3,697,False,2,5,365
2,4.3,697,False,12,5,365
2,4.3,697,True,46,5,365
2,4.3,697,False,0,3,365
2,4.3,697,True,73,5,365
2,4.3,697,True,46,5,365
2,4.3,697,False,6,4,365
2,4.3,697,False,4,5,365
2,4.3,697,True,18,4,365
2,4.3,697,False,4,5,365
2,4.3,697,True,66,5,365
2,4.3,697,True,23,4,365
2,4.3,697,True,178,4,365
2,4.3,697,False,11,5,365
2,4.3,697,False,3,5,365
2,4.3,697,False,17,4,365
2,4.3,697,False,15,5,365
2,4.3,697,True,14,5,365
2,4.3,697,False,2,4,365
2,4.3,697,True,39,4,365
2,4.3,697,False,5,5,365
2,4.3,697,True,130,5,365
2,4.3,697,False,1,5,365
